id,field,
BSU/SC/CMP/03/1449,Computer Programmer
BSU/SC/CMP/03/1450,Web Developer
BSU/SC/CMP/03/1451,Information Researcher
BSU/SC/CMP/03/1452,Computational Complexity
BSU/SC/CMP/03/1453,Security Analyst
BSU/SC/CMP/03/1454,Software Developer
BSU/SC/CMP/03/1455,Database Administrator
BSU/SC/CMP/03/1456,Computational Complexity
BSU/SC/CMP/03/1457,Machine Learning
BSU/SC/CMP/03/1458,Security Analyst
BSU/SC/CMP/03/1459,Software Developer
BSU/SC/CMP/03/1460,Web Developer
BSU/SC/CMP/03/1461,Network Administrator
BSU/SC/CMP/03/1462,Information Researcher
BSU/SC/CMP/03/1463,Advanced Complex Queries
BSU/SC/CMP/03/1464,Security Analyst
BSU/SC/CMP/03/1465,Network Administrator
BSU/SC/CMP/03/1466,Network Administrator
BSU/SC/CMP/03/1467,Database Administrator
BSU/SC/CMP/03/1468,Deep Learning
BSU/SC/CMP/03/1469,Computational Complexity
BSU/SC/CMP/03/1470,System Manager
BSU/SC/CMP/03/1471,System Analyst
BSU/SC/CMP/03/1472,Software Developer
BSU/SC/CMP/03/1473,System Analyst
BSU/SC/CMP/03/1474,Security Analyst
BSU/SC/CMP/03/1475,Information Researcher
BSU/SC/CMP/03/1476,Computer Programmer
BSU/SC/CMP/03/1477,Information Researcher
BSU/SC/CMP/03/1478,Network Administrator
BSU/SC/CMP/03/1479,Advanced Complex Queries
BSU/SC/CMP/03/1480,Database Administrator
BSU/SC/CMP/03/1481,Database Administrator
BSU/SC/CMP/03/1482,Computer Programmer
BSU/SC/CMP/03/1483,Software Developer
BSU/SC/CMP/03/1484,Deep Learning
BSU/SC/CMP/03/1485,Information Researcher
BSU/SC/CMP/03/1486,System Analyst
BSU/SC/CMP/03/1487,System Analyst
